name|hp|attack|defense|luck|speed|attRange|description
hpPotion1|20|0|0|0|0|0|Restore 10HP
hpPotion1|20|0|0|0|0|0|Restore 20HP
hpPotion1|20|0|0|0|0|0|Restore 50HP
hpPotion1|20|0|0|0|0|0|Restore 80HP
hpPotion1|20|0|0|0|0|0|Restore 150HP
attackPotion1|0|50|0|0|0|0|Increase the Character's Attack by 5 until the Character's next turn
attackPotion2|0|10|0|0|0|0|Increase the Character's Attack by 10 until the Character's next turn
attackPotion3|0|15|0|0|0|0|Increase the Character's Attack by 15 until the Character's next turn
attackPotion4|0|20|0|0|0|0|Increase the Character's Attack by 20 until the Character's next turn
attackPotion5|0|25|0|0|0|0|Increase the Character's Attack by 25 until the Character's next turn
defensePotion1|0|0|3|0|0|0|Increase the Character's Defense by 3 until the Character's next turn
defensePotion2|0|0|6|0|0|0|Increase the Character's Defense by 6 until the Character's next turn
defensePotion3|0|0|12|0|0|0|Increase the Character's Defense by 12 until the Character's next turn
defensePotion4|0|0|15|0|0|0|Increase the Character's Defense by 15 until the Character's next turn
defensePotion5|0|0|20|0|0|0|Increase the Character's Defense by 20 until the Character's next turn
luckPotion1|0|0|20|0|0|0|Increase the Character's Luck by 20 until the Character's next turn
luckPotion2|0|0|30|0|0|0|Increase the Character's Luck by 30 until the Character's next turn
luckPotion3|0|0|50|0|0|0|Increase the Character's Luck by 50 until the Character's next turn
luckPotion4|0|0|70|0|0|0|Increase the Character's Luck by 70 until the Character's next turn
luckPotion5|0|0|100|0|0|0|Increase the Character's Luck by 100 until the Character's next turn
speedPotion1|0|0|0|0|20|0|Increase the Character's Speed by 20 until the Character's next turn
speedPotion2|0|0|0|0|40|0|Increase the Character's Speed by 40 until the Character's next turn
speedPotion3|0|0|0|0|60|0|Increase the Character's Speed by 60 until the Character's next turn
speedPotion4|0|0|0|0|80|0|Increase the Character's Speed by 80 until the Character's next turn
speedPotion5|0|0|0|0|100|0|Increase the Character's Speed by 100 until the Character's next turn
sightPotion1|0|0|0|0|0|1|Increase the Character's Attack Range by 1 until the Character's next turn
sightPotion1|0|0|0|0|0|2|Increase the Character's Attack Range by 2 until the Character's next turn
sightPotion1|0|0|0|0|0|3|Increase the Character's Attack Range by 3 until the Character's next turn
sightPotion1|0|0|0|0|0|4|Increase the Character's Attack Range by 4 until the Character's next turn
sightPotion1|0|0|0|0|0|5|Increase the Character's Attack Range by 5 until the Character's next turn
